accession,filed_date,acceptance_datetime,subject_cik,subject_name,ticker_raw,symbol,map_method,S,elig_ok,taint_ok,entry_dt,split,hold_label
0000905148-21-000599,2021-07-22,,1777393,"ChargePoint Holdings, Inc.  (CHPT)  (CIK 0001777393)",CHPT,CHPT,ticker,1398,True,True,2021-07-23,TRAIN,primary
0001104659-21-094940,2021-07-22,,1822492,Hillman Solutions Corp.  (HLMN)  (CIK 0001822492),HLMN,HLMN,ticker,1398,True,True,2021-07-23,TRAIN,primary
0001683168-21-003062,2021-07-22,,1819516,"Wheels Up Experience Inc.  (UP, WSUPW)  (CIK 0001819516)",,UP,cik,1398,True,True,2021-07-23,TRAIN,primary
0001193125-21-224362,2021-07-26,,1805385,"Evolv Technologies Holdings, Inc.  (EVLV, EVLVW)  (CIK 0001805385)",,EVLV,cik,1400,True,True,2021-07-27,TRAIN,primary
0001213900-21-038710,2021-07-26,,1752828,"Celularity Inc  (CELU, CELUW)  (CIK 0001752828)",,CELU,cik,1400,True,True,2021-07-27,TRAIN,primary
0001193125-21-224451,2021-07-26,,1822928,"Holley Inc.  (HLLY, HLLY-WT)  (CIK 0001822928)",,HLLY,cik,1400,True,True,2021-07-27,TRAIN,primary
0001193125-21-224377,2021-07-26,,1816708,"Owlet, Inc.  (OWLT, OWLTW)  (CIK 0001816708)",,OWLT,cik,1400,True,True,2021-07-27,TRAIN,primary
0001193125-21-224354,2021-07-26,,1828318,Enovix Corp  (ENVX)  (CIK 0001828318),ENVX,ENVX,ticker,1400,True,True,2021-07-27,TRAIN,primary
0001104659-21-095921,2021-07-26,,1753162,Fathom Holdings Inc.  (FTHM)  (CIK 0001753162),FTHM,FTHM,ticker,1400,True,True,2021-07-27,TRAIN,primary
0001683168-21-003112,2021-07-27,,1531177,"Sight Sciences, Inc.  (SGHT)  (CIK 0001531177)",SGHT,SGHT,ticker,1401,True,True,2021-07-28,TRAIN,primary
0000947871-21-000818,2021-07-27,,1760689,"Microvast Holdings, Inc.  (MVST, MVSTW)  (CIK 0001760689)",,MVST,cik,1401,True,True,2021-07-28,TRAIN,primary
0000929638-21-000927,2021-07-27,,1811210,"Lucid Group, Inc.  (LCID)  (CIK 0001811210)",LCID,LCID,ticker,1401,True,True,2021-07-28,TRAIN,primary
0001193125-21-229329,2021-07-29,,1580864,"Vroom, Inc.  (VRM)  (CIK 0001580864)",VRM,VRM,ticker,1403,True,True,2021-07-30,TRAIN,primary
0000807249-21-000127,2021-07-29,,62234,MARCUS CORP  (MCS)  (CIK 0000062234),MCS,MCS,ticker,1403,True,True,2021-07-30,TRAIN,primary
0000919574-21-004712,2021-07-29,,1850119,"Century Therapeutics, Inc.  (IPSC)  (CIK 0001850119)",IPSC,IPSC,ticker,1403,True,True,2021-07-30,TRAIN,primary
0001214659-21-008009,2021-07-30,,1824403,"Reservoir Media, Inc.  (RSVR, RSVRW)  (CIK 0001824403)",,RSVR,cik,1404,True,True,2021-08-02,TRAIN,primary
0000929638-21-000959,2021-07-30,,1761918,"Erasca, Inc.  (ERAS)  (CIK 0001761918)",ERAS,ERAS,ticker,1404,True,True,2021-08-02,TRAIN,primary
0001193125-21-231656,2021-07-30,,1818502,"OppFi Inc.  (OPFI, OPFI-WT)  (CIK 0001818502)",,OPFI,cik,1404,True,True,2021-08-02,TRAIN,primary
0001213900-21-039855,2021-08-02,,1818331,"Sema4 Holdings Corp.  (WGS, WGSWW)  (CIK 0001818331)",,WGS,cik,1405,True,True,2021-08-03,TRAIN,primary
0001104659-21-098953,2021-08-02,,1844862,"Decarbonization Plus Acquisition Corp III  (SLDP, SLDPW)  (CIK 0001844862)",,SLDP,cik,1405,True,True,2021-08-03,TRAIN,primary
0000905718-21-000983,2021-08-02,,1009829,JAKKS PACIFIC INC  (JAKK)  (CIK 0001009829),JAKK,JAKK,ticker,1405,True,True,2021-08-03,TRAIN,primary
0001140361-21-026462,2021-08-02,,1805521,"FARADAY FUTURE INTELLIGENT ELECTRIC INC.  (FFIE, FFIEW)  (CIK 0001805521)",,FFAI,cik,1405,True,True,2021-08-03,TRAIN,primary
0001193125-21-233351,2021-08-02,,1828673,HCW Biologics Inc.  (HCWB)  (CIK 0001828673),HCWB,HCWB,ticker,1405,True,True,2021-08-03,TRAIN,primary
0001193125-21-237720,2021-08-05,,1802156,"Xponential Fitness, Inc.  (XPOF)  (CIK 0001802156)",XPOF,XPOF,ticker,1408,True,True,2021-08-06,TRAIN,primary
0001140361-21-027155,2021-08-05,,1793663,VTEX  (VTEX)  (CIK 0001793663),VTEX,VTEX,ticker,1408,True,True,2021-08-06,TRAIN,primary
0000950142-21-002562,2021-08-05,,1854139,Zevia PBC  (ZVIA)  (CIK 0001854139),ZVIA,ZVIA,ticker,1408,True,True,2021-08-06,TRAIN,primary
0001104659-21-101483,2021-08-06,,1831915,"Cytek Biosciences, Inc.  (CTKB)  (CIK 0001831915)",CTKB,CTKB,ticker,1409,True,True,2021-08-09,TRAIN,primary
0000950142-21-002581,2021-08-09,,1818201,CCC Intelligent Solutions Holdings Inc.  (CCCS)  (CIK 0001818201),CCCS,CCC,cik,1410,True,True,2021-08-10,TRAIN,primary
0000921895-21-001959,2021-08-09,,1309402,Green Plains Inc.  (GPRE)  (CIK 0001309402),GPRE,GPRE,ticker,1410,True,True,2021-08-10,TRAIN,primary
0001193125-21-240584,2021-08-09,,1828105,"Hippo Holdings Inc.  (HIPO, HIPO-WT)  (CIK 0001828105)",,HIPO,cik,1410,True,True,2021-08-10,TRAIN,primary
0001193805-21-001136,2021-08-09,,1493761,Turtle Beach Corp  (HEAR)  (CIK 0001493761),HEAR,TBCH,cik,1410,True,True,2021-08-10,TRAIN,primary
0001193125-21-242565,2021-08-11,,1320854,"FreightCar America, Inc.  (RAIL)  (CIK 0001320854)",RAIL,RAIL,ticker,1412,True,True,2021-08-12,TRAIN,primary
0001104659-21-103460,2021-08-11,,1674168,Hilton Grand Vacations Inc.  (HGV)  (CIK 0001674168),HGV,HGV,ticker,1412,True,True,2021-08-12,TRAIN,primary
0001104659-21-104153,2021-08-12,,1739410,Rallybio Corp  (RLYB)  (CIK 0001739410),RLYB,RLYB,ticker,1413,True,True,2021-08-13,TRAIN,primary
0001193125-21-244783,2021-08-12,,1393311,"Public Storage  (PSA, PSA-PF, PSA-PG, PSA-PH, PSA-PI, PSA-PJ, PSA-PK, PSA-PL, PSA-PM, PSA-PN, PSA-PO, PSA-PP, PSA-PQ)  (CIK 0001393311)",,PSA,cik,1413,True,True,2021-08-13,TRAIN,primary
0000807249-21-000137,2021-08-12,,1173514,"HYSTER-YALE MATERIALS HANDLING, INC.  (HY)  (CIK 0001173514)",HY,HY,ticker,1413,True,True,2021-08-13,TRAIN,primary
0001104659-21-105119,2021-08-13,,1740279,"IN8BIO, INC.  (INAB)  (CIK 0001740279)",INAB,INAB,ticker,1414,True,True,2021-08-16,TRAIN,primary
0001193125-21-246230,2021-08-13,,1111485,"RxSight, Inc.  (RXST)  (CIK 0001111485)",RXST,RXST,ticker,1414,True,True,2021-08-16,TRAIN,primary
0001493152-21-020703,2021-08-19,,1857044,"Indaptus Therapeutics, Inc.  (INDP)  (CIK 0001857044)",INDP,INDP,ticker,1418,True,True,2021-08-20,TRAIN,primary
0001193125-21-252773,2021-08-20,,1832038,"Adagio Therapeutics, Inc.  (IVVD)  (CIK 0001832038)",IVVD,IVVD,ticker,1419,True,True,2021-08-23,TRAIN,primary
0000947871-21-000952,2021-08-20,,1819848,"Joby Aviation, Inc.  (JOBY, JOBY-WT)  (CIK 0001819848)",,JOBY,cik,1419,True,True,2021-08-23,TRAIN,primary
0001193125-21-252802,2021-08-20,,1820721,"Array Technologies, Inc.  (ARRY)  (CIK 0001820721)",ARRY,ARRY,ticker,1419,True,True,2021-08-23,TRAIN,primary
0001193125-21-253941,2021-08-23,,1768446,"Eliem Therapeutics, Inc.  (ELYM)  (CIK 0001768446)",ELYM,CLYM,cik,1420,True,True,2021-08-24,TRAIN,primary
0001193125-21-254038,2021-08-23,,1856725,"Rani Therapeutics Holdings, Inc.  (RANI)  (CIK 0001856725)",RANI,RANI,ticker,1420,True,True,2021-08-24,TRAIN,primary
0001072613-21-000552,2021-08-26,,1783879,"Robinhood Markets, Inc.  (HOOD)  (CIK 0001783879)",HOOD,HOOD,ticker,1423,True,True,2021-08-27,TRAIN,primary
0001193125-21-257705,2021-08-26,,1816017,"Spire Global, Inc.  (SPIR)  (CIK 0001816017)",SPIR,SPIR,ticker,1423,True,True,2021-08-27,TRAIN,primary
0001104659-21-109851,2021-08-26,,1837014,"SmartRent, Inc.  (SMRT)  (CIK 0001837014)",SMRT,SMRT,ticker,1423,True,True,2021-08-27,TRAIN,primary
0001193125-21-257624,2021-08-26,,1828937,"Finance of America Companies Inc.  (FOA, FOACW)  (CIK 0001828937)",,FOA,cik,1423,True,True,2021-08-27,TRAIN,primary
0001193125-21-256615,2021-08-26,,1808805,"Nautilus Biotechnology, Inc.  (NAUT)  (CIK 0001808805)",NAUT,NAUT,ticker,1423,True,True,2021-08-27,TRAIN,primary
0000905718-21-001151,2021-08-27,,1853816,"Dermata Therapeutics, Inc.  (DRMA, DRMAW)  (CIK 0001853816)",,DRMA,cik,1424,True,True,2021-08-30,TRAIN,primary
0000902664-21-004065,2021-08-30,,1682745,VERRA MOBILITY Corp  (VRRM)  (CIK 0001682745),VRRM,VRRM,ticker,1425,True,True,2021-08-31,TRAIN,primary
0000902664-21-004067,2021-08-30,,1289945,"Spok Holdings, Inc  (SPOK)  (CIK 0001289945)",SPOK,SPOK,ticker,1425,True,True,2021-08-31,TRAIN,primary
0001104659-21-110973,2021-08-30,,1805651,"MARKETWISE, INC.  (MKTW)  (CIK 0001805651)",MKTW,MKTW,ticker,1425,True,True,2021-08-31,TRAIN,primary
0001104659-21-110679,2021-08-30,,1818382,"Humacyte, Inc.  (HUMA, HUMAW)  (CIK 0001818382)",,HUMA,cik,1425,True,True,2021-08-31,TRAIN,primary
0001193125-21-260873,2021-08-30,,1568651,"Oscar Health, Inc.  (OSCR)  (CIK 0001568651)",OSCR,OSCR,ticker,1425,True,True,2021-08-31,TRAIN,primary
0001193125-21-260701,2021-08-30,,1818331,"Sema4 Holdings Corp.  (WGS, WGSWW)  (CIK 0001818331)",,WGS,cik,1425,True,True,2021-08-31,TRAIN,primary
0000902664-21-004063,2021-08-30,,16868,CANADIAN NATIONAL RAILWAY CO  (CNI)  (CIK 0000016868),CNI,CNI,ticker,1425,True,True,2021-08-31,TRAIN,primary
0001213900-21-045599,2021-08-30,,1819493,"Xos, Inc.  (XOS, XOSWW)  (CIK 0001819493)",,XOS,cik,1425,True,True,2021-08-31,TRAIN,primary
0001527166-21-000050,2021-09-03,,1544206,"TCG BDC, INC.  (CGBD, CGBDL)  (CIK 0001544206)",,CGBD,cik,1429,True,True,2021-09-07,TRAIN,primary
0001437749-21-021515,2021-09-03,,785956,J&J SNACK FOODS CORP  (JJSF)  (CIK 0000785956),JJSF,JJSF,ticker,1429,True,True,2021-09-07,TRAIN,primary
0001193125-21-266616,2021-09-07,,1819994,"Rocket Lab USA, Inc.  (RKLB)  (CIK 0001819994)",RKLB,RKLB,ticker,1430,True,True,2021-09-08,TRAIN,primary
0001104659-21-113485,2021-09-07,,1422142,"Aadi Bioscience, Inc.  (AADI)  (CIK 0001422142)",AADI,WHWK,cik,1430,True,True,2021-09-08,TRAIN,primary
0001564590-21-047609,2021-09-10,,1825024,"Offerpad Solutions Inc.  (OPAD, OPADW)  (CIK 0001825024)",,OPAD,cik,1433,True,True,2021-09-13,TRAIN,primary
0000919574-21-005817,2021-09-10,,1430725,"Global Ship Lease, Inc.  (GSL, GSL-PB)  (CIK 0001430725)",,GSL,cik,1433,True,True,2021-09-13,TRAIN,primary
0001104659-21-114742,2021-09-10,,1177394,SYNNEX CORP  (SNX)  (CIK 0001177394),SNX,SNX,ticker,1433,True,True,2021-09-13,TRAIN,primary
0001104659-21-115571,2021-09-14,,1819810,"Redwire Corp  (RDW, RDW-WT)  (CIK 0001819810)",,RDW,cik,1435,True,True,2021-09-15,TRAIN,primary
0001199835-21-000586,2021-09-16,,1596961,"RumbleOn, Inc.  (RMBL)  (CIK 0001596961)",RMBL,RDNW,cik,1437,True,True,2021-09-17,TRAIN,primary
0001193125-21-277424,2021-09-20,,1753539,"BlackSky Technology Inc.  (BKSY, BKSY-WT)  (CIK 0001753539)",,BKSY,cik,1439,True,True,2021-09-21,TRAIN,primary
0001213900-21-048844,2021-09-20,,1798562,"TMC the metals Co Inc.  (TMC, TMCWW)  (CIK 0001798562)",,TMC,cik,1439,True,True,2021-09-21,TRAIN,primary
0001193125-21-280047,2021-09-23,,1819989,"Cipher Mining Inc.  (CIFR, CIFRW)  (CIK 0001819989)",,CIFR,cik,1442,True,True,2021-09-24,TRAIN,primary
0001193125-21-280922,2021-09-24,,1796022,StepStone Group Inc.  (STEP)  (CIK 0001796022),STEP,STEP,ticker,1443,True,True,2021-09-27,TRAIN,primary
0001193125-21-284319,2021-09-27,,1830214,"Ginkgo Bioworks Holdings, Inc.  (DNA, DNA-WT)  (CIK 0001830214)",,DNA,cik,1444,True,True,2021-09-28,TRAIN,primary
0001140361-21-032612,2021-09-27,,1588978,PROCEPT BioRobotics Corp  (PRCT)  (CIK 0001588978),PRCT,PRCT,ticker,1444,True,True,2021-09-28,TRAIN,primary
0000921895-21-002333,2021-09-27,,1307954,Huntsman CORP  (HUN)  (CIK 0001307954),HUN,HUN,ticker,1444,True,True,2021-09-28,TRAIN,primary
0001104659-21-119793,2021-09-27,,1863127,"Tyra Biosciences, Inc.  (TYRA)  (CIK 0001863127)",TYRA,TYRA,ticker,1444,True,True,2021-09-28,TRAIN,primary
0001104659-21-119838,2021-09-27,,1824502,"Archer Aviation Inc.  (ACHR, ACHR-WT)  (CIK 0001824502)",,ACHR,cik,1444,True,True,2021-09-28,TRAIN,primary
0001104659-21-121322,2021-09-30,,1819404,Nerdy Inc.  (NRDY)  (CIK 0001819404),NRDY,NRDY,ticker,1447,True,True,2021-10-01,TRAIN,primary
0000905718-21-001266,2021-10-04,,1788028,"Jasper Therapeutics, Inc.  (JSPR, JSPRW)  (CIK 0001788028)",,JSPR,cik,1449,True,True,2021-10-05,TRAIN,primary
0001564590-21-050070,2021-10-04,,1826681,"Sarcos Technology & Robotics Corp  (PDYN, PDYNW)  (CIK 0001826681)",,PDYN,cik,1449,True,True,2021-10-05,TRAIN,primary
0000315066-21-001738,2021-10-05,,1650164,"Toast, Inc.  (TOST)  (CIK 0001650164)",TOST,TOST,ticker,1450,True,True,2021-10-06,TRAIN,primary
0000921895-21-002400,2021-10-07,,1665918,US Foods Holding Corp.  (USFD)  (CIK 0001665918),USFD,USFD,ticker,1452,True,True,2021-10-08,TRAIN,primary
0001123292-21-001369,2021-10-08,,1781162,"Momentus Inc.  (MNTS, MNTSW)  (CIK 0001781162)",,MNTS,cik,1453,True,True,2021-10-11,TRAIN,primary
0001140361-21-034203,2021-10-08,,1772921,OneWater Marine Inc.  (ONEW)  (CIK 0001772921),ONEW,ONEW,ticker,1453,True,True,2021-10-11,TRAIN,primary
0000902664-21-004482,2021-10-12,,1575828,EXPRO GROUP HOLDINGS N.V.  (XPRO)  (CIK 0001575828),XPRO,XPRO,ticker,1455,True,True,2021-10-13,TRAIN,primary
0001193125-21-296241,2021-10-12,,1788882,"Root, Inc.  (ROOT)  (CIK 0001788882)",ROOT,ROOT,ticker,1455,True,True,2021-10-13,TRAIN,primary
0001193125-21-297028,2021-10-12,,1602065,Viper Energy Partners LP  (VNOM)  (CIK 0001602065),VNOM,VNOM,ticker,1455,True,True,2021-10-13,TRAIN,primary
0001213900-21-052188,2021-10-12,,1314196,"OLB GROUP, INC.  (OLB)  (CIK 0001314196)",OLB,OLB,ticker,1455,True,True,2021-10-13,TRAIN,primary
0000947871-21-001061,2021-10-13,,1787425,XP Inc.  (XP)  (CIK 0001787425),XP,XP,ticker,1456,True,True,2021-10-14,TRAIN,primary
0001213900-21-052595,2021-10-13,,1818331,"Sema4 Holdings Corp.  (WGS, WGSWW)  (CIK 0001818331)",,WGS,cik,1456,True,True,2021-10-14,TRAIN,primary
0000919574-21-006292,2021-10-13,,1604481,Euronav NV  (CMBT)  (CIK 0001604481),CMBT,CMBT,ticker,1456,True,True,2021-10-14,TRAIN,primary
0001104659-21-127214,2021-10-18,,1819438,"ESS Tech, Inc.  (GWH, GWH-WT)  (CIK 0001819438)",,GWH,cik,1459,True,True,2021-10-19,TRAIN,primary
0001193125-21-304172,2021-10-21,,1820302,"Bakkt Holdings, Inc.  (BKKT, BKKT-WT)  (CIK 0001820302)",,BKKT,cik,1462,True,True,2021-10-22,TRAIN,primary
0001072613-21-000602,2021-10-21,,1824920,"IonQ, Inc.  (IONQ, IONQ-WT)  (CIK 0001824920)",,IONQ,cik,1462,True,True,2021-10-22,TRAIN,primary
0001140361-21-035115,2021-10-21,,1869198,"Life Time Group Holdings, Inc.  (LTH)  (CIK 0001869198)",LTH,LTH,ticker,1462,True,True,2021-10-22,TRAIN,primary
0000905148-21-000683,2021-10-22,,1782223,"Pyxis Oncology, Inc.  (PYXS)  (CIK 0001782223)",PYXS,PYXS,ticker,1463,True,True,2021-10-25,TRAIN,primary
0001104659-21-129496,2021-10-25,,1455365,COGNITION THERAPEUTICS INC  (CGTX)  (CIK 0001455365),CGTX,CGTX,ticker,1464,True,True,2021-10-26,TRAIN,primary
0001193125-21-307933,2021-10-26,,1415921,Navios Maritime Partners L.P.  (NMM)  (CIK 0001415921),NMM,NMM,ticker,1465,True,True,2021-10-27,TRAIN,primary
0001493152-21-026551,2021-10-27,,1799011,Lucid Diagnostics Inc.  (LUCD)  (CIK 0001799011),LUCD,LUCD,ticker,1466,True,True,2021-10-28,TRAIN,primary
0001193125-21-311369,2021-10-28,,1840229,"MiNK Therapeutics, Inc.  (INKT)  (CIK 0001840229)",INKT,INKT,ticker,1467,True,True,2021-10-29,TRAIN,primary
0001104659-21-131865,2021-10-29,,23197,COMTECH TELECOMMUNICATIONS CORP /DE/  (CMTL)  (CIK 0000023197),CMTL,CMTL,ticker,1468,True,True,2021-11-01,TRAIN,primary
0001654954-21-011508,2021-10-29,,1640384,"LM FUNDING AMERICA, INC.  (LMFA)  (CIK 0001640384)",LMFA,PWCM,cik,1468,True,True,2021-11-01,TRAIN,primary
0000895345-21-000924,2021-11-01,,1809987,"Mirion Technologies, Inc.  (MIR)  (CIK 0001809987)",MIR,MIR,ticker,1469,True,True,2021-11-02,TRAIN,primary
0001378544-21-000003,2021-11-01,,1111928,IPG PHOTONICS CORP  (IPGP)  (CIK 0001111928),IPGP,IPGP,ticker,1469,True,True,2021-11-02,TRAIN,primary
0001493152-21-026888,2021-11-01,,1833214,"SAB Biotherapeutics, Inc.  (SABS, SABSW)  (CIK 0001833214)",,SABS,cik,1469,True,True,2021-11-02,TRAIN,primary
0001193125-21-318450,2021-11-03,,1840233,"Xilio Therapeutics, Inc.  (XLO)  (CIK 0001840233)",XLO,XLO,ticker,1471,True,True,2021-11-04,TRAIN,primary
0000947871-21-001145,2021-11-05,,1490281,"Groupon, Inc.  (GRPN)  (CIK 0001490281)",GRPN,GRPN,ticker,1473,True,True,2021-11-08,TRAIN,primary
0001104659-21-135066,2021-11-05,,1798749,"Aerovate Therapeutics, Inc.  (AVTE)  (CIK 0001798749)",AVTE,JBIO,cik,1473,True,True,2021-11-08,TRAIN,primary
0001193125-21-321685,2021-11-05,,357294,"HOVNANIAN ENTERPRISES INC  (HOV, HOVNP, HOVVB)  (CIK 0000357294)",,HOV,cik,1473,True,True,2021-11-08,TRAIN,primary
0001654954-21-011746,2021-11-08,,1116463,ORASURE TECHNOLOGIES INC  (OSUR)  (CIK 0001116463),OSUR,OSUR,ticker,1474,True,True,2021-11-09,TRAIN,primary
0000902664-21-004779,2021-11-08,,1865631,"NEXTNAV INC.  (NN, NNAVW, NXNVW)  (CIK 0001865631)",,NN,cik,1474,True,True,2021-11-09,TRAIN,primary
0001193125-21-325850,2021-11-10,,1501796,"Aura Biosciences, Inc.  (AURA)  (CIK 0001501796)",AURA,AURA,ticker,1476,True,True,2021-11-11,TRAIN,primary
0001206774-21-002736,2021-11-10,,1378789,AerCap Holdings N.V.  (AER)  (CIK 0001378789),AER,AER,ticker,1476,True,True,2021-11-11,TRAIN,primary
0000902664-21-004919,2021-11-12,,1070985,"CoreCivic, Inc.  (CXW)  (CIK 0001070985)",CXW,CXW,ticker,1478,True,True,2021-11-15,TRAIN,primary
0001193125-21-328252,2021-11-12,,935703,"DOLLAR TREE, INC.  (DLTR)  (CIK 0000935703)",DLTR,DLTR,ticker,1478,True,True,2021-11-15,TRAIN,primary
0001104659-21-138124,2021-11-12,,1689375,"Entrada Therapeutics, Inc.  (TRDA)  (CIK 0001689375)",TRDA,TRDA,ticker,1478,True,True,2021-11-15,TRAIN,primary
0001193125-21-329960,2021-11-15,,1828108,"Aurora Innovation, Inc.  (AUR, AUROW)  (CIK 0001828108)",,AUR,cik,1479,True,True,2021-11-16,TRAIN,primary
0001104659-21-139306,2021-11-15,,1846069,"Nextdoor Holdings, Inc.  (KIND)  (CIK 0001846069)",KIND,NXDR,cik,1479,True,True,2021-11-16,TRAIN,primary
0001213900-21-059465,2021-11-15,,1822359,DocGo Inc.  (DCGO)  (CIK 0001822359),DCGO,DCGO,ticker,1479,True,True,2021-11-16,TRAIN,primary
0001193125-21-331204,2021-11-16,,1730463,Autolus Therapeutics plc  (AUTL)  (CIK 0001730463),AUTL,AUTL,ticker,1480,True,True,2021-11-17,TRAIN,primary
0001831631-21-000154,2021-11-16,,1831631,"loanDepot, Inc.  (LDI)  (CIK 0001831631)",LDI,LDI,ticker,1480,True,True,2021-11-17,TRAIN,primary
0001683168-21-005861,2021-11-19,,1829794,"Volcon, Inc.  (VLCN)  (CIK 0001829794)",VLCN,EMPD,cik,1483,True,True,2021-11-22,TRAIN,primary
0001387131-21-011407,2021-11-22,,1799191,"Oncology Institute, Inc.  (TOI, TOIIW)  (CIK 0001799191)",,STLN,cik,1484,True,True,2021-11-23,TRAIN,primary
0001213900-21-061900,2021-11-24,,1464790,"B. Riley Financial, Inc.  (RILY, RILYG, RILYK, RILYL, RILYM, RILYN, RILYP, RILYT, RILYZ)  (CIK 0001464790)",,RILY,cik,1486,True,True,2021-11-26,TRAIN,primary
0000921895-21-002776,2021-11-29,,1808997,"American Outdoor Brands, Inc.  (AOUT)  (CIK 0001808997)",AOUT,AOUT,ticker,1488,True,True,2021-11-30,TRAIN,primary
0001104659-21-145226,2021-12-01,,1434647,"KEMPHARM, INC  (ZVRA)  (CIK 0001434647)",ZVRA,ZVRA,ticker,1490,True,True,2021-12-02,TRAIN,primary
0001213900-21-062809,2021-12-01,,1840616,New Found Gold Corp.  (NFGC)  (CIK 0001840616),NFGC,NFGC,ticker,1490,True,True,2021-12-02,TRAIN,primary
0001193125-21-347989,2021-12-03,,1840780,"Local Bounti Corporation/DE  (LOCL, LOCLW)  (CIK 0001840780)",,LOCL,cik,1492,True,True,2021-12-06,TRAIN,primary
0001019056-21-000636,2021-12-08,,58361,"LEE ENTERPRISES, Inc  (LEE)  (CIK 0000058361)",LEE,LEE,ticker,1495,True,True,2021-12-09,TRAIN,primary
0001104659-21-148089,2021-12-09,,1169770,"BANC OF CALIFORNIA, INC.  (BANC, BANC-PF)  (CIK 0001169770)",,BANC,cik,1496,True,True,2021-12-10,TRAIN,primary
0001140361-21-041207,2021-12-10,,1840776,"Hagerty, Inc.  (HGTY, HGTPW)  (CIK 0001840776)",,HGTY,cik,1497,True,True,2021-12-13,TRAIN,primary
0001193125-21-354010,2021-12-10,,1531177,"Sight Sciences, Inc.  (SGHT)  (CIK 0001531177)",SGHT,SGHT,ticker,1497,True,True,2021-12-13,TRAIN,primary
0001104659-21-149139,2021-12-13,,1828972,"BuzzFeed, Inc.  (BZFD, BZFDW)  (CIK 0001828972)",,BZFD,cik,1498,True,True,2021-12-14,TRAIN,primary
0001104659-21-149099,2021-12-13,,1832511,"P3 Health Partners Inc.  (PIII, PIIIW)  (CIK 0001832511)",,PIII,cik,1498,True,True,2021-12-14,TRAIN,primary
0001104659-21-150010,2021-12-15,,1844862,"Solid Power, Inc.  (SLDP, SLDPW)  (CIK 0001844862)",,SLDP,cik,1500,True,True,2021-12-16,TRAIN,primary
0001341004-21-000363,2021-12-16,,1823945,BLUE OWL CAPITAL INC.  (OWL)  (CIK 0001823945),OWL,OWL,ticker,1501,True,True,2021-12-17,TRAIN,primary
0001104659-21-150587,2021-12-16,,1499961,MULLEN AUTOMOTIVE INC.  (MULN)  (CIK 0001499961),MULN,BINI,cik,1501,True,True,2021-12-17,TRAIN,primary
0001104659-21-150588,2021-12-16,,1689375,"Entrada Therapeutics, Inc.  (TRDA)  (CIK 0001689375)",TRDA,TRDA,ticker,1501,True,True,2021-12-17,TRAIN,primary
0000921895-21-002863,2021-12-16,,793952,"HARLEY-DAVIDSON, INC.  (HOG)  (CIK 0000793952)",HOG,HOG,ticker,1501,True,True,2021-12-17,TRAIN,primary
0001104659-21-151147,2021-12-17,,1819848,"Joby Aviation, Inc.  (JOBY, JOBY-WT)  (CIK 0001819848)",,JOBY,cik,1502,True,True,2021-12-20,TRAIN,primary
0001104659-21-151235,2021-12-17,,1716951,"OFS Credit Company, Inc.  (OCCI, OCCIN, OCCIO)  (CIK 0001716951)",,OCCI,cik,1502,True,True,2021-12-20,TRAIN,primary
0001193125-21-361163,2021-12-17,,1836981,"BigBear.ai Holdings, Inc.  (BBAI, BBAI-WT)  (CIK 0001836981)",,BBAI,cik,1502,True,True,2021-12-20,TRAIN,primary
0001140361-21-042474,2021-12-20,,1014739,"Option Care Health, Inc.  (OPCH)  (CIK 0001014739)",OPCH,OPCH,ticker,1503,True,True,2021-12-21,TRAIN,primary
0001193125-21-361394,2021-12-20,,1836833,"Planet Labs PBC  (PL, PL-WT)  (CIK 0001836833)",,PL,cik,1503,True,True,2021-12-21,TRAIN,primary
0001193125-21-365041,2021-12-22,,1589526,Blue Bird Corp  (BLBD)  (CIK 0001589526),BLBD,BLBD,ticker,1505,True,True,2021-12-23,TRAIN,primary
0000950142-21-004160,2021-12-23,,1083301,TERAWULF INC.  (WULF)  (CIK 0001083301),WULF,WULF,ticker,1506,True,True,2021-12-27,TRAIN,primary
0001193125-21-366232,2021-12-23,,1031296,FIRSTENERGY CORP  (FE)  (CIK 0001031296),FE,FE,ticker,1506,True,True,2021-12-27,TRAIN,primary
0000950103-21-020188,2021-12-23,,1840572,Bowlero Corp.  (BOWL)  (CIK 0001840572),BOWL,LUCK,cik,1506,True,True,2021-12-27,TRAIN,primary
0000902664-21-005385,2021-12-23,,1049521,MERCURY SYSTEMS INC  (MRCY)  (CIK 0001049521),MRCY,MRCY,ticker,1506,True,True,2021-12-27,TRAIN,primary
0001213900-21-067472,2021-12-27,,1413855,FANHUA INC.  (FANH)  (CIK 0001413855),FANH,AIFU,cik,1507,True,True,2021-12-28,TRAIN,primary
0000950103-21-020215,2021-12-27,,1787425,XP Inc.  (XP)  (CIK 0001787425),XP,XP,ticker,1507,True,True,2021-12-28,TRAIN,primary
0001193125-21-366892,2021-12-27,,840489,"FirstCash Holdings, Inc.  (FCFS)  (CIK 0000840489)",FCFS,FCFS,ticker,1507,True,True,2021-12-28,TRAIN,primary
0001193805-21-001797,2021-12-27,,1609711,GoDaddy Inc.  (GDDY)  (CIK 0001609711),GDDY,GDDY,ticker,1507,True,True,2021-12-28,TRAIN,primary
0001104659-21-154352,2021-12-29,,1823144,"CompoSecure, Inc.  (CMPO, CMPOW)  (CIK 0001823144)",,GPGI,cik,1509,True,True,2021-12-30,TRAIN,primary
